key,value,definition
direction,270,hidrant_d'incendi:diàmetre	=	*
diameter,300,diàmetre 300
fire_hydrant:diameter,300,hidrant d'incendi: diàmetre 300
it:pv:pavia:UN_VOL_POR,301,direcció	=	*
clc:code,312,it:pv:pavia:UN_VOL_POR	=	*
clc:code,313,clc:codi	=	*
voltage:secondary,400,clc:codi	=	*
NHD:FType,460,voltatge: secundari	=	*
gauge,1000,NHD: Tipus F	=	*
gauge,1067,mesurar	=	*
raba:id,1100,rava: identificació	=	*
lbcs:function:code,1101,mesurar	=	*
raba:id,1160,rava: identificació	=	*
raba:id,1180,rava: identificació	=	*
raba:id,1190,rava: identificació	=	*
raba:id,1211,rava: identificació	=	*
raba:id,1212,rava: identificació	=	*
raba:id,1222,raba:id	1222
raba:id,1300,rava: identificació	=	*
raba:id,1410,rava: identificació	=	*
gauge,1435,lbcs:funció:codi	=	*
raba:id,1500,rava: identificació	=	*
gauge,1520,mesurar	=	*
gauge,1524,mesurar	=	*
gauge,1600,mesurar	=	*
gauge,1668,mesurar	=	*
gauge,1676,mesurar	=	*
raba:id,1800,raba:id	1800
start_date,1800,data d'inici 1800
GeoBaseNHN:VALDATE,1990,mesurar	=	*
raba:id,2000,dcgis: codi de característica	=	*
dcgis:featurecode,2000,GeoBaseNHN:VALDAT	=	*
clc:year,2006,CVX:any	=	*
CLC:year,2006,CLC:any 2006
population:date,2006,habitants:data	2006
population:date,2009,clc: any	=	*
population:date,2010,població: data	=	*
source:geometry:date,2010,font:geometria:data 2010
survey:date,2013,població: data	=	*
population:pupils:date,2015,habitants:pupils:data	2015
population:date,2017,enquesta: data	=	*
population:date,2019,població: data	=	*
survey:date,2020,enquesta: data 2020
source_dat,2021,source_dat 2021
survey:date,2022,enquesta:data 2022
start_date,2023,data d'inici	=	*
survey:date,2023,enquesta:data 2023
start_date,2024,data d'inici 2024
start_date,2025,data d'inici 2025
addr:street:sym_ul,10898,adreça:carrer:sym_ul 10898
voltage:primary,11000,tensió:primari 11000
massgis:SOURCE_SCA,12000,massgis:SOURCE_SCA 12000
proposed:voltage,15000,proposat:voltage	15000
voltage:primary,15000,voltatge
voltage:primary,20000,població: data	=	*
addr:street:sym_ul,21970,adreça:carrer:sym_ul 21970
voltage:primary,22000,adreça:carrer:sym_ul	=	*
construction:voltage,25000,construcció: voltatge 25000
proposed:voltage,25000,proposat:voltage	25000
mml:class,32611,mml:classe 32611
gnis:fcode,33600,gnis:fcode 33600
NHD:FCode,33600,NHD: FCCodi 33600
mml:class,34100,mml:classe 34100
source:addr:date,1995-01-01,voltatge: primari	=	*
mml:class,35300,mml:classe 35300
mml:class,35412,mml:classe 35412
mml:class,36200,mml:classe 36200
mml:class,36311,mml:classe 36311
mml:class,36312,mml:classe 36312
nhd-shp:fdate,2002-01-10,font:direcció:data	=	*
population:date,2004-12-17,nhd-shp:fdate	=	*
source:geometry:date,2005-11-15,font:geometria:data 2005-11-15
nhd:fcode,39001,població: data	=	*
nhd:fcode,39004,nhd: codi f	=	*
nhd:fdate,2008-02-28,nhd: codi f	=	*
teryt:stan_na,2009-01-01,nhd:data	=	*
population:date,2010-10-14,teryt:stan_na	=	*
LINZ:source_version,2012-06-06,població: data	=	*
LINZ2OSM:source_version,2015-02-02,LINZ:versió_font	=	*
LINZ2OSM:source_version,2015-04-13,LINZ2OSM:versió_font	=	*
mml:class,42131,mml:classe 42131
mml:class,42161,mml:classe 42161
mml:class,42211,mml:classe 42211
mml:class,42231,mml:classe 42231
mml:class,42261,LINZ2OSM:versió_font	=	*
source:addr:version,2016-04-01,mml:classe	=	*
at_bev:addr_date,2016-10-02,at_bev:adreça_data 2016-10-02
population:date,2020-05-01,habitants:data	2020-05-01
heritage:since,2020-09-26,patrimoni: des del 26-09-2020
source:addr:date,2021-01-01,font:direcció:versió	=	*
check_date,2021-07-01,font:direcció:data	=	*
check_date,2023-04-26,data_de_comprovació 26-04-2023
population:date,2023-08-31,habitants:data	2023-08-31
check_date,2025-04-24,data_de_comprovació 24-04-2025
fcode,45800,codi f	=	*
source:date,2025-08-20,font:data 2025-08-20
nhd-shp:fcode,46003,il·luminat	=	*
nhd:fcode,46003,nhd-shp:fcode	=	*
nhd:fcode,46006,nhd: codi f	=	*
nhd:fcode,46007,nhd: codi f	=	*
nhd:fcode,55800,nhd: codi f	=	*
ngbe:codigo,80214,nhd: codi f	=	*
addr:TW:dataset,120044,adreça:TW:dataset 120044
addr:TW:dataset,137998,ngbe: codi	=	*
addr:city:simc,918123,adreça:ciutat:simc 918123
canvec:CODE,1760011,canvec:CODI	=	*
nycdoitt:bin,3000000,canvec:CODI	=	*
nycdoitt:bin,4000000,nycdoitt:bin	=	*
surrey:date,19850801,nycdoitt:bin	=	*
dcgis:captureyear,19990331,surrei: data	=	*
source:geometry:date,20160608161352,font:geometria:data 20160608161352
operator:ref:FR:SIRET,21130055300016,dcgis: any de captura	=	*
level,-1;0,nivell -1;0
addr:city,'s-Gravenhage,adreça:ciutat 's-Gravenhage
sanitary_dump_station,*,abocador sanitari	=	*
addr:place,*,adreça: barri	=	*
addr:city,*,adreça: bloc	=	*
addr:subdistrict,*,adreça: carrer	=	*
addr:unit,*,adreça: ciutat	=	*
addr:postcode:source,*,adreça: codi postal	=	*
addr:province,*,adreça: codi postal: font	=	*
addr:neighbourhood,*,adreça: número de casa	=	*
addr:province:en,*,adreça: província	=	*
addr:state,*,adreça: regió	=	*
addr:country,*,adreça:ciutat	=	*
addr:postcode,*,adreça:lloc	=	*
addr:hamlet,*,adreça:pis	=	*
addr:region,*,adreça:província:ca	=	*
addr:subdistrict:en,*,adreça:subdistricte	=	*
addr:town,*,adreça:suburbi	=	*
maxheight,*,Alçada màxima	=	*
maxwidth,*,amplada màxima	=	*
width,*,ample	=	*
ref,*,àrbitre	=	*
fixme,*,arreglar-me	=	*
drink:coffee,*,beure cafè	=	*
drink:wine,*,beure vi	=	*
shop,*,botiga	=	*
cadet,*,cadet	=	*
waterway,*,camí aquàtic	=	*
layer,*,capa	=	*
construction,*,capacitat	=	*
cyclability,*,ciclabilitat	=	*
trailhead,*,començament del sender	=	*
comment,*,comentari	=	*
created_by,*,construcció	=	*
grit_bin,*,contenidor de sorra	=	*
description,*,creat per	=	*
oneway,*,d'una sola mà	=	*
smoking,*,de fumar	=	*
diameter_crown,*,descripció	=	*
addr:suburb,*,dir:subdistricte:ca	=	*
at_bev:addr_date,*,direcció: unitat	=	*
capacity,*,edifici:nivells	=	*
building:levels,*,edifici:pisos	=	*
is_in,*,és a	=	*
is_in:country_code,*,es_en:codi_país	=	*
estuary,*,estuari	=	*
nuclear_explosion:country,*,explosió nuclear: país	=	*
railway,*,ferrocarril	=	*
bakehouse,*,fleca	=	*
source,*,font	=	*
source:addr,*,font: direcció	=	*
source:geometry,*,font: geometria	=	*
source:date,*,font:data	=	*
source:population,*,font:població	=	*
source:position,*,font:posició	=	*
source:user,*,font:usuari	=	*
baking_oven,*,forn de cocció	=	*
wood,*,fusta	=	*
geocodigo,*,geocodi	=	*
fire_hydrant:description,*,hidrant d'incendi:descripció	=	*
fire_hydrant:diameter,*,hidrant_d'incendi:diàmetre	=	*
fire_hydrant:type:zh,*,hidrant_d'incendi:tipus:zh	=	*
historic,*,històric	=	*
opening_hours,*,horari d'obertura	=	*
network,*,la xarxa	=	*
foldable_pie_slice,*,llesca de pastís plegable	=	*
vending_machine,*,màquina expenedora	=	*
brand:ja,*,marca	=	*
brand:wikidata,*,marca a wikidata
seamark:rock:water_level,*,marca:roca:nivell d'aigua	=	*
brand,*,marca= *
motorcycle:type,*,motocicleta: tipus	=	*
motorcycle:clothes,*,motocicleta:roba	=	*
naptan:Status,*,naftan:Estat	=	*
ncat,*,ncat	=	*
level,*,nivell	=	*
addr:street,*,"node d’adreça: nom del carrer , avinguda , rambla , passeig , bulevard , passatge , carreró = *"
name,*,nom	=	*
name:prefix:be,*,nom: prefix: ser	=	*
name:etymology:wikidata,*,nom:etimologia:wikidata	=	*
name:ja,*,nom:ja	=	*
name:prefix:ru,*,nom:prefix:ru	=	*
note,*,Nota	=	*
note:ja,*,nota: sí	=	*
office:realtor,*,oficina: agent immobiliari	=	*
operator,*,operador	=	*
operator:ja,*,operador: ja	=	*
operator:wikipedia,*,operador: wikipedia	=	*
organ,*,Òrgan	=	*
maxweight,*,pes màxim	=	*
pole:role,*,pol: paper	=	*
mountain_pass,*,Port de muntanya	=	*
name:prefix,*,prefix del nom	=	*
drink:beer,*,prendre cervesa	=	*
ref:gsi,*,referència:gsi	=	*
dog_washing,*,rentat de gossos	=	*
seamark:navigation_line:category,*,seamark:línia de navegació:categoria	=	*
military_service,*,servei militar	=	*
speisebezirk,*,speisebezirk	=	*
tiger:county,*,tigre: comtat	=	*
type,*,tipus	=	*
building,*,tipus d'edifici	=	*
recycling_type,*,tipus de reciclatge	=	*
tower:type,*,torre:tipus	=	*
ferry,*,transportar	=	*
landuse:secondary,*,ús del sòl: secundari	=	*
minspeed,*,velocitat mínima	=	*
vending,*,venda	=	*
voltage,*,Voltatge	=	*
wikidata,*,wikidata	=	*
addr:block,*,adreça:bloc *
addr:district,*,adreça:districte *
colour,#000000,color	=	*
roof:colour,#808080,sostre:color #808080
roof:colour,#938870,sostre: color	=	*
colour,#ff0000,color	=	*
building:colour,#FFFFFF,edifici:color = #FFFFFF (blanc en codi de color hexadecimal)
source,#opendri-comoros,source #opendri-comoros
source:ref,#ŻółtaNaklejkaPLK,font: referència	=	*
contact:phone,+7 495 2321000,contacte: telèfon +7 495 2321000
contact:phone,+7 800 5555505,contacte: telèfon +7 800 5555505
contact:phone,+7 800 5555550,contacte: telèfon +7 800 5555550
contact:phone,+7␣800␣2347000,telèfon de contacte	=	*
capacity:persons,<50,Capacitat: persones <50
turn:lanes,||merge_to_left,gir:carrils	=	*
turn:lanes,||right,gir:carrils	=	*
isced:level,0-1,isced:nivell	=	*
incline,"0,00%",inclinació	=	*
level,0;-1,nivell 0;-1
isced:level,0;1,isced:nivell 0;1
level,0;1,nivell 0;1
massgis:DEED_ACRES,0.00000000,massgis:DEED_ACRES 0.00000000
NHD:Elevation,0.00000000000,"NHD: Elevació 0,00000000000"
circumference,0.15,circumferència	=	*
circumference,0.16,circumferència	=	*
width,0.2,width	0.2
openGeoDB:version,0.2.6.11␣/␣2007-12-04␣/␣http://fa-technik.adfc.de/code/opengeodb/dump/,openGeoDB: versió	=	*
circumference,0.25,circumferència	=	*
circumference,0.3,circumferència	=	*
paving_stones:length,0.3,paving_stones:length	0.3
paving_stones:width,0.3,paving_stones:width	0.3
circumference,0.45,circumferència	=	*
roof:height,0.5,sostre: alçada	=	*
roof:levels,0.5,sostre:nivells	=	*
circumference,0.6,circumferència 0.6
circumference,0.75,circumferència 0.75
roof:levels,0.8,sostre:nivells	=	*
incline,0%,inclinació 0%
mtb:scale,0+,mtb:escala 0+
hcpaogis:dorcode,01 - SINGLE FAMILY,hcpaogis:dorcode 01 - UNIFAMILIAR
hcpaogis:dorcode,01␣-␣SINGLE␣FAMILY,hcpaogis:dorcode	=	*
GeoBaseNHN:DatasetName,02LG000,GeoBaseNHN:Nom del conjunt de dades	=	*
GeoBaseNHN:DatasetName,02LH000,GeoBaseNHN:Nom del conjunt de dades	=	*
addr:postcode,05-092,adreça:codi postal 05-092
heritage:ref,05111000_A_01676,patrimoni:referència 05111000_A_01676
opening_hours,08:00-22:00,horaris	08:00-22:00
usar_addr:edit_date,090511_BC,usar_addr:editar_data	=	*
garmin_type,0x6,tipus_garmin	=	*
addr:street,1 Maja,adreça:carrer 1 Maja
building:foundation_height,1 to 1.5,edifici:alçada_fonament 1 a 1.5
building:foundation_height,1_to_1.5,edifici:base_alçada	=	*
addr:flats,1-2,adreça: pisos	=	*
addr:flats,1-20,adreça:pisos 1-20
addr:flats,1-3,adreça:pisos 1-3
addr:flats,1-4,adreça:pisos 1-4
isced:level,1;2,isced:nivell 1;2
ele:accuracy,1.0,ele: precisió	=	*
roof:height,1.5,sostre: alçada	=	*
roof:levels,1.5,sostre:nivells	=	*
location:accuracy,1.5,ubicació: precisió	=	*
generator:output:electricity,1.5 MW,generador:sortida:electricitat 1.5 MW
generator:output:electricity,1.5␣MW,generador:sortida:electricitat	=	*
yh:WIDTH,1.5m〜3.0m,yh:WIDTH	1.5m〜3.0m
yh:WIDTH,1.5m未満,yh:WIDTH	1.5m未満
railway:tbl,1+,ferrocarril:taula 1+
building:foundation_height,1␣to␣1.5,edifici:base_alçada	=	*
building:age,10_to_30,"edifici:edat, antiguitat = *"
incline,"10,00%",inclinació	=	*
incline,10%,inclinació 10%
light:power,100 W,llum:potència 100 W
capacity:persons,100-250,capacitat:persones	=	*
voltage,10000;400,tensió 10000;400
usar_addr:edit_date,100208_BC,usar_addr:editar_data	=	*
usar_addr:edit_date,100806_BC,usar_addr:editar_data	=	*
sport,10pin,esport	=	10 pins
tiger:name_base,10th,tigre:nom_base	=	*
addr:city:en,10th of Rammadan City,adreça:ciutat:en 10è de Rammadan City
maxaxleload,11.5,maxaxleload	=	*
voltage,15000;400,tensió 15000;400
frequency,16.67,freqüència	=	*
frequency,16.7,freqüència	=	*
proposed:frequency,16.7,proposat:frequency	16.7
start_date,1976..1991,data d'inici 1976..1991
protect_class,1a,classe de protecció	=	1a
it:fvg:ctrn:revision,1A0,it:fvg:ctrn:revisió 1A0
it:fvg:ctrn:revision,1AM,it:fvg:ctrn:revisió 1AM
it:fvg:ctrn:revision,1AN,it:fvg:ctrn:revisió 1AN
protect_class,1b,classe de protecció	=	1b
name,1st Street,nom Carrer 1
maxstay,2 hours,estada màxima 2 hores
generator:output:electricity,2 MW,generador:sortida:electricitat 2 MW
seamark:topmark:shape,2_cones_base_together,marca de mar:marca de topall:forma	=
seamark:topmark:shape,2_cones_down,marca de mar:marca de topall:forma	=
seamark:topmark:shape,2_cones_point_together,marca de mar:marca de topall:forma	=
